TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
0,0.8,0,0,0,5.66,0.08,2,1.21,0.36,15.49,0,0,0.02,1.14,0.14,0,0,0,0.19,0,0,0,0,0.08,0.42,3.4
0.53,0.4,0.02,0.77,0.43,0.14,0.04,3.1,0.02,4.51,15.9,1.38,3.22,0,9.66,18.86,2.15,0,0.92,1.81,2,1,0,0.02,1.84,0.14,0.41
1.65,17,2.18,9.24,21.44,6.79999999999999,1.64,3.9,15.95,5.65,12.53,24.39,8.85,0,12.08,53.9400000000001,35.46,4.82,3.44,15.19,16.8,26.4,0,0.1,27.38,0.48,14.4
0.88,44.4,0.04,0,0.54,9.65999999999998,0.02,2.67,7.88,0.57,17.97,3.8,0.21,0,16.41,17.17,0.47,4.15,2.84,2.24,2.4,6.6,0,0,12.12,2.14,18.7
0.02,3.6,0.08,0,0,0,0.31,7.03,7.93,0.18,52.9,0,0,0,0,1.02,0.06,0.02,1.95,2.09,3.8,19.2,0,0,0.02,0.82,2.06
0.02,1.2,0.06,0,0,17.76,0.32,0.98,0.81,0,15.77,0.36,0,0.02,0.08,16.21,0.02,0,0,0,0.2,0,0.03,0,0.57,0.5,29.24
0.02,0.2,0.04,0,0,25.72,0,0.09,10.51,0.14,10.61,0.04,0,0,3.55,5.21,0.08,0,0.06,0.16,0.2,0,1.38,0,0.22,5.53999999999998,9.22
0,0.4,0,0,0,0.14,0.04,0.02,7.91,0.06,31.17,0.04,0,0,1.21,4.12,0.02,0,0,0.04,0.2,0,0,0.02,0.54,1.54,3.14
0,0.6,0.04,0,0,18.8,0.04,0,10.16,0.1,23.73,0,0,0,0.06,7.52,0,0,0,0,0.2,0,0,0,0.1,1.9,9.24
21.29,0.4,0,39.44,25.38,9.49999999999998,0.1,0.08,0.89,11.39,4.88,27.18,18.25,0.02,4.75,24.02,24.44,1.85,4.86,0.76,0.2,10.4,0,0.19,1.83,2.48,0.06
7.10999999999999,0,0,17.78,27.97,7.23,0.53,0.02,2.21,0.67,9.7,103.94,20.47,0,1.55,13.02,53.84,8.89,2.24,0.59,1.2,1.6,0,1.19,34.39,0.68,99.6999999999999
0.7,0.2,0,32.95,32.26,27.4600000000001,0.44,1.11,22.32,0.34,1.03,15.25,35.75,0,0.22,17.37,17.24,1.57,2.26,1.2,0,1.6,0,1.31,30.21,0.940000000000001,14.49
0.08,21,0,4.19,5.68,17.4,0,0.32,0.47,9.21,1.27,0.7,4.93,0,5.28,3.21,3.87,0.1,0.73,0.57,0.2,0,0,2.29,1.67,0.42,4.78999999999999
0,17,0,0,0,8.00999999999999,0,0.19,0.04,0.1,1.96,0.63,0.73,0,0.08,2.33,0,0,0.39,2.65,7.6,32,0,0.02,3.33,0.12,1.49
0,0.2,0.08,0,0,2.53,0,0.04,0.16,0,0.06,0.21,0,0,0.93,0.14,0,0.02,13.38,34.42,2.6,34.2,0,0.04,0.29,0.44,0.92
0.02,0.4,0,0,0,0.06,0.26,0.02,42.63,0.06,0.14,0.53,0,0,1.62,0.16,0.1,0.44,0.66,4.46,0.8,11,0,0.02,0.8,0.02,0
0,23.6,0.02,0.38,0.02,8.03999999999999,0.02,0.02,1.33,0.02,0.16,0.06,0,0,3.22,4.49,0.07,0,0.72,8.33,2.6,5.6,0,0,0.98,0.06,0.53
0,0.4,0,0.04,0.04,2.52,0.85,0.07,26.67,0.12,0.36,0,0,0,2.12,28.25,0,0.2,0.15,0.61,0.2,1.4,0,0,0.08,0.54,0.02
0.37,0,0.08,0,0.69,0.88,0,0.02,7.89,0.06,0.1,0,0.8,0,0.1,1.36,1.85,0,0.12,0.49,0.4,2.4,0,0,0.04,0,0.06
0.45,11.4,0.06,0,0,0.48,0,0,0.06,0,0.04,0,0,0,0,1.28,0,0,0,0.04,1.2,0,0,0,0,0,0.1
0,0.2,0,0,0,0.1,0,0.02,0.1,0.1,0.08,0,0,0,0,0.27,0,0,0.08,0.1,0,0,0,0.02,0,0,0.08
0,0,0,0,0,0.24,0.04,1.07,10.22,0.1,0.16,0,0,0,0,1.13,0,0,0,0.08,0,0,0,0.06,0,0,0
0.08,0.2,0,0,0.02,0.08,0.04,0.03,0.1,0.1,0.06,0,0.06,0,0,0.69,0.12,0.02,0.16,0.62,0.2,3,0,0,0,0,0
0.06,0,0,0.06,0,0.02,0,0.04,0.04,0.08,0.04,0,0,0,0,0.14,0,0,0.75,1.04,0.2,0,0,0.06,0,0,0
